ak	10059742	2	"Saturday, July 10, 2010 16:14:42 UTC"	63.5627	-147.6882	2.3	7.9	27	Central Alaska
ci	10746493	4	"Saturday, July 10, 2010 16:12:29 UTC"	32.2817	-115.3198	2	5.6	14	"Baja California, Mexico"
nc	71422710	2	"Saturday, July 10, 2010 16:11:57 UTC"	40.2997	-124.323	1.9	7.7	20	Northern California
pr	10191001	0	"Saturday, July 10, 2010 16:05:06 UTC"	18.0189	-65.513	2.9	3	7	Puerto Rico region
nc	71422700	8	"Saturday, July 10, 2010 16:04:30 UTC"	40.425	-123.568	3.8	31.9	35	Northern California
ci	10746357	2	"Saturday, July 10, 2010 15:01:53 UTC"	33.4773	-116.5058	1.2	14.3	49	Southern California
ci	10746365	2	"Saturday, July 10, 2010 15:01:53 UTC"	33.4783	-116.5013	1.1	14.1	36	Southern California
ci	10746349	2	"Saturday, July 10, 2010 14:54:20 UTC"	33.4725	-116.5182	1.7	13.3	90	Southern California
ci	10746341	6	"Saturday, July 10, 2010 14:51:33 UTC"	33.569	-116.6342	1.3	11.5	31	Southern California
us	2010yna6	6	"Saturday, July 10, 2010 14:49:47 UTC"	-25.1123	-176.2833	5.1	35	45	south of the Fiji Islands
ci	10746333	2	"Saturday, July 10, 2010 14:47:04 UTC"	33.4805	-116.5175	1.2	11	50	Southern California
ci	34477759	2	"Saturday, July 10, 2010 14:44:25 UTC"	32.2165	-115.3548	2.3	10	17	"Baja California, Mexico"
ci	10746317	2	"Saturday, July 10, 2010 14:39:49 UTC"	33.4715	-116.5087	1.5	14.8	67	Southern California
ci	10746293	5	"Saturday, July 10, 2010 14:37:27 UTC"	33.472	-116.522	2.8	13.3	107	Southern California
ci	10746261	4	"Saturday, July 10, 2010 14:31:58 UTC"	33.9813	-116.3822	1	11.8	31	Southern California
ak	10060103	3	"Saturday, July 10, 2010 14:29:54 UTC"	52.6908	-168.5156	2.1	25	8	"Fox Islands, Aleutian Islands, Alaska"
ak	10059741	2	"Saturday, July 10, 2010 14:28:53 UTC"	63.2422	-151.2391	1.2	9.8	12	Central Alaska
ak	10060101	3	"Saturday, July 10, 2010 14:24:06 UTC"	53.5198	-164.9657	1.9	25.7	10	"Unimak Island region, Alaska"
ci	10746253	4	"Saturday, July 10, 2010 14:23:11 UTC"	34.3065	-116.8325	1	2.2	14	Southern California
ci	34405759	4	"Saturday, July 10, 2010 14:05:50 UTC"	32.284	-115.4018	1.9	7.4	14	"Baja California, Mexico"
ci	10746245	2	"Saturday, July 10, 2010 14:05:49 UTC"	32.276	-115.4118	1.9	7	12	"Baja California, Mexico"
ci	10746229	2	"Saturday, July 10, 2010 13:55:20 UTC"	34.233	-117.3793	1.6	24.4	18	"Greater Los Angeles area, California"
ci	10746213	2	"Saturday, July 10, 2010 13:46:51 UTC"	32.2213	-115.2318	2.2	7.1	15	"Baja California, Mexico"
ci	10746205	2	"Saturday, July 10, 2010 13:26:45 UTC"	33.4567	-116.5505	1.1	13.2	45	Southern California
ci	10746197	5	"Saturday, July 10, 2010 13:24:53 UTC"	33.1073	-116.4238	2.9	9.4	103	Southern California
ci	10746181	4	"Saturday, July 10, 2010 13:12:43 UTC"	34.01	-117.5862	1.9	5.2	79	"Greater Los Angeles area, California"
ci	10746165	4	"Saturday, July 10, 2010 13:06:24 UTC"	33.8583	-118.2428	1.6	19.4	17	"Greater Los Angeles area, California"
ci	10746173	4	"Saturday, July 10, 2010 13:06:24 UTC"	32.2413	-115.3282	2.5	15.5	20	"Baja California, Mexico"
ak	10059734	2	"Saturday, July 10, 2010 13:00:46 UTC"	63.3747	-145.7827	1.4	6.8	9	Central Alaska
op	129394	2	"Saturday, July 10, 2010 13:06:46 UTC"	294	299	10	3.4	122	Somewhere
